Dive,1A,1B,1C,1D,3A,3B,3C,3D,5A,5B,5C,5D,7A,7B,7C,7D,10A,10B,10C,10D
101,1.4,1.3,1.2,,1.6,1.5,1.4,,1.4,1.3,1.2,,1.6,1.5,1.4,,1.6,1.5,1.4,
102,1.6,1.5,1.4,,1.7,1.6,1.5,,1.6,1.5,1.4,,1.7,1.6,1.5,,1.8,1.7,1.6,
103,2,1.7,1.6,,1.9,1.6,1.5,,2,1.7,1.6,,1.9,1.6,1.5,,1.9,1.6,1.5,
104,2.6,2.3,2.2,,2.4,2.1,2,,2.6,2.3,2.2,,2.4,2.1,2,,2.5,2.2,2.1,
105,,2.6,2.4,,2.8,2.4,2.2,,,2.6,2.4,,,2.4,2.2,,2.7,2.3,2.1,
106,,3.2,2.9,,,2.8,2.5,,,3.2,2.9,,,2.8,2.5,,,3,2.7,
107,,3.3,3,,,3.1,2.8,,,,3,,,3.1,2.8,,,3,2.7,
108,,,4,,,3.8,3.4,,,,,,,,,,,4.2,3.7,
109,,,4.3,,,4.2,3.8,,,,,,,,,,,4.1,3.7,
1011,,,,,,,,,,,,,,,,,,,4.7,
112,,1.7,1.6,,,1.8,1.7,,,1.7,1.6,,,1.8,1.7,,,1.9,1.8,
113,,1.9,1.8,,,1.8,1.7,,,1.9,1.8,,,1.8,1.7,,,1.8,1.7,
114,,,,,,,,,,2.5,2.4,,,2.3,2.2,,,2.4,2.3,
115,,,,,,2.7,2.5,,,,,,,,2.5,,,2.6,2.4,
,,,,,,,,,,,,,,,,,,,,
201,1.7,1.6,1.5,,1.9,1.8,1.7,,1.7,1.6,1.5,,1.9,1.8,1.7,,1.9,1.8,1.7,
202,1.7,1.6,1.5,,1.8,1.7,1.6,,1.7,1.6,1.5,,1.8,1.7,1.6,,1.9,1.8,1.7,
203,2.5,2.3,2,,2.4,2.2,1.9,,2.5,2.3,2,,2.4,2.2,1.9,,2.4,2.2,1.9,
204,,2.5,2.2,,2.5,2.3,2,,,2.5,2.2,,2.5,2.3,2,,2.6,2.4,2.1,
205,,3.2,3,,,3,2.8,,,,3,,,3,2.8,,3.3,2.9,2.7,
206,,3.2,2.9,,,2.8,2.5,,,3.2,2.9,,,2.8,2.5,,,3,2.7,
207,,,,,,3.9,3.6,,,,,,,,3.5,,,3.6,3.3,
208,,,,,,3.7,3.4,,,4.4,4.1,,,4.2,3.9,,,4.1,3.8,
209,,,,,,4.8,4.5,,,,,,,,,,,4.5,4.2,
212,,1.7,1.6,,,1.8,1.7,,,1.7,1.6,,,1.8,1.7,,,1.9,1.8,
213,,,,,,2.4,2.1,,,2.5,2.2,,,2.4,2.1,,,2.4,2.1,
215,,,,,,3.3,3.1,,,,,,,,,,,3.2,3,
,,,,,,,,,,,,,,,,,,,,
301,1.8,1.7,1.6,,2,1.9,1.8,,1.8,1.7,1.6,,2,1.9,1.8,,2,1.9,1.8,
302,1.8,1.7,1.6,,1.9,1.8,1.7,,1.8,1.7,1.6,,1.9,1.8,1.7,,2,1.9,1.8,
303,2.7,2.4,2.1,,2.6,2.3,2,,2.7,2.4,2.1,,2.6,2.3,2,,2.6,2.3,2,
304,2.9,2.6,2.3,,2.7,2.4,2.1,,2.9,2.6,2.3,,2.7,2.4,2.1,,2.8,2.5,2.2,
305,,3.2,3,,3.4,3,2.8,,,3.3,3.1,,3.5,3.1,2.9,,3.4,3,2.8,
306,,3.3,3,,,2.9,2.6,,,3.4,3.1,,,3,2.7,,,3.2,2.9,
307,,,,,,3.8,3.5,,,,,,,,,,,3.7,3.4,
308,,,,,,3.7,3.4,,,,,,,4.5,4.2,,,4.4,4.1,
309,,,,,,4.7,4.4,,,,,,,,,,,4.8,4.5,
312,,1.8,1.7,,,1.9,1.8,,,1.8,1.7,,,1.9,1.8,,,2,1.9,
313,,2.6,2.3,,,2.5,2.2,,,2.6,2.3,,,2.5,2.2,,,2.5,2.2,
,,,,,,,,,,,,,,,,,,,,
401,1.8,1.5,1.4,,1.7,1.4,1.3,,1.8,1.5,1.4,,1.7,1.4,1.3,,1.7,1.4,1.3,
402,2,1.7,1.6,,1.8,1.5,1.4,,2,1.7,1.6,,1.8,1.5,1.4,,1.9,1.6,1.5,
403,,2.4,2.2,,,2.1,1.9,,,2.4,2.2,,,2.1,1.9,,,2,1.8,
404,,3,2.8,,,2.6,2.4,,,3,2.8,,,2.6,2.4,,,2.6,2.4,
405,,3.4,3.1,,,3,2.7,,,3.4,3.1,,,3,2.7,,,2.8,2.5,
406,,,,,,,,,,4,3.7,,,3.4,3.1,,,3.5,3.2,
407,,,,,,3.7,3.4,,,,,,,,3.4,,,3.5,3.2,
408,,,,,,,,,,,,,,,,,,4.4,4.1,
409,,,,,,4.6,4.2,,,,,,,,,,,4.4,4.1,
412,,2.1,2,,,1.9,1.8,,,2.1,2,,,1.9,1.8,,,2,1.9,
413,,2.9,2.7,,,2.6,2.4,,,2.9,2.7,,,2.6,2.4,,,2.5,2.3,
,,,,,,,,,,,,,,,,,,,,
5111,1.8,1.7,1.6,,2,1.9,1.8,,1.8,1.7,1.6,,2,1.9,1.8,,2,1.9,1.8,
5112,2,1.9,,,2.2,2.1,,,2,1.9,,,2.2,2.1,,,2.2,2.1,,
5121,,,,1.7,,,,1.8,,,,1.7,,,,1.8,,,,1.9
5122,,,,1.9,,,,2,,,,1.9,,,,2,,,,2.1
5124,,,,2.3,,,,2.4,,,,2.3,,,,2.4,,,,2.5
5126,,,,2.8,,,,2.9,,,,,,,,,,,,
5131,,,,2,,,,1.9,,,,2,,,,1.9,,,,1.9
5132,,,,2.2,,,,2.1,,,,2.2,,,,2.1,,,,2.1
5134,,,,2.6,,,,2.5,,,,2.6,,,,2.5,,,,2.5
5136,,,,3.1,,,,3,,,,3.1,,,,3,,,,3
5138,,,,3.5,,,,3.4,,,,3.5,,,,3.4,,,,3.4
5151,,3,2.8,,,2.8,2.6,,,,,,,,,,,,,
5152,,3.2,3,,,3,2.8,,,3.2,3,,,3,2.8,,,2.9,2.7,
5154,,3.6,3.4,,,3.4,3.2,,,3.6,3.4,,,3.4,3.2,,,3.3,3.1,
5156,,,,,,3.9,3.7,,,,,,,,,,,3.8,3.6,
5172,,,,,,3.7,3.4,,,,,,,3.7,3.4,,,3.6,3.3,
,,,,,,,,,,,,,,,,,,,,
5211,1.8,1.7,1.6,,2,1.9,1.8,,1.8,1.7,1.6,,2,1.9,1.8,,2,1.9,1.8,
5212,2,1.9,,,2.2,,,,2,,,,2.2,,,,2.2,,,
5221,,,,1.7,,,,1.8,,,,1.7,,,,1.8,,,,1.9
5222,,,,1.9,,,,2,,,,1.9,,,,2,,,,2.1
5223,,,,2.3,,,,2.4,,,,2.3,,,,2.4,,,,2.5
5225,,,,2.7,,,,2.8,,,,2.7,,,,2.8,,,,2.9
5227,,,,3.2,,,,3.3,,,,,,,,,,,,
5231,,,,2.1,,,,2,,,,2.1,,,,2,,,,2
5233,,,,2.5,,,,2.4,,,,2.5,,,,2.4,,,,2.4
5235,,,,2.9,,,,2.8,,,,2.9,,,,2.8,,,,2.8
5237,,,,,,,,3.3,,,,3.4,,,,3.3,,,,3.3
5239,,,,,,,,3.7,,,,3.8,,,,3.7,,,,3.7
5251,,2.9,2.7,,,2.7,2.5,,,2.9,2.7,,,2.7,2.5,,,2.6,2.4,
5253,,,,,,3.4,3.2,,,,,,,3.3,3.1,,,3.2,3,
5255,,,,,,3.8,3.6,,,,,,,,,,,3.6,3.4,
5257,,,,,,,,,,,,,,,,,,4.1,3.9,
5271,,,,,,,,,,,,,,,,,,3.2,2.9,
5273,,,,,,,,,,,,,,,,,,3.8,3.5,
5275,,,,,,,,,,,,,,,,,,4.2,3.9,
,,,,,,,,,,,,,,,,,,,,
5311,1.9,1.8,1.7,,2.1,2,1.9,,1.9,1.8,1.7,,2.1,2,1.9,,2.1,2,1.9,
5312,2.1,,,,2.3,,,,2.1,,,,2.3,,,,2.3,,,
5321,,,,1.8,,,,1.9,,,,1.8,,,,1.9,,,,2
5322,,,,2,,,,2.1,,,,2,,,,2.1,,,,2.2
5323,,,,2.4,,,,2.5,,,,2.4,,,,2.5,,,,2.6
5325,,,,2.8,,,,2.9,,,,2.8,,,,2.9,,,,3
5331,,,,2.2,,,,2.1,,,,2.2,,,,2.1,,,,2.1
5333,,,,2.6,,,,2.5,,,,2.6,,,,2.5,,,,2.5
5335,,,,3,,,,2.9,,,,3,,,,2.9,,,,2.9
5337,,,,3.6,,,,3.5,,,,3.5,,,,3.4,,,,3.4
5339,,,,,,,,3.8,,,,,,,,3.8,,,,3.8
5351,,2.9,2.7,,,2.7,2.5,,,2.9,2.7,,,2.7,2.5,,,2.6,2.4,
5353,,3.5,3.3,,,3.3,3.1,,,,3.4,,,3.4,3.2,,,3.3,3.1,
5355,,3.9,3.7,,,3.7,3.5,,,,3.8,,,3.8,3.6,,,3.7,3.5,
5371,,,,,,3.4,3.1,,,,,,,,,,,3.3,3,
5373,,,,,,,3.7,,,,,,,,,,,,3.6,
5375,,,,,,,4.1,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,
5411,2,1.7,1.6,,1.9,1.6,1.5,,2,1.7,1.6,,1.9,1.6,1.5,,1.9,1.6,1.5,
5412,2.2,1.9,1.8,,2.1,1.8,1.7,,2.2,1.9,1.8,,2.1,1.8,1.7,,2.1,1.8,1.7,
5421,,,,1.9,,,,1.7,,,,1.9,,,,1.7,,,,1.8
5422,,,,2.1,,,,1.9,,,,2.1,,,,1.9,,,,2
5432,,,,2.7,,,,2.4,,,,2.7,,,,2.4,,,,2.3
5434,,,,3.1,,,,2.8,,,,3.1,,,,2.8,,,,2.7
5436,,,,,,,,3.5,,,,,,,,,,,,3.4
,,,,,,,,,,,,,,,,,,,,
600,,,,,,,,,1.5,,,,1.6,,,,1.6,,,
611,,,,,,,,,1.8,1.7,1.5,,2,1.9,1.7,,2,1.9,1.7,
612,,,,,,,,,1.8,1.7,1.5,,1.9,1.8,1.6,,2,1.9,1.7,
614,,,,,,,,,,2.5,2.2,,,2.3,2,,,2.4,2.1,
616,,,,,,,,,,,,,,,,,,3.3,3.1,
,,,,,,,,,,,,,,,,,,,,
621,,,,,,,,,1.7,1.6,1.4,,1.9,1.8,1.6,,1.9,1.8,1.6,
622,,,,,,,,,2.1,2,1.8,,2.2,2.1,1.9,,2.3,2.2,2,
623,,,,,,,,,,2.3,2,,,2.2,1.9,,,2.2,1.9,
624,,,,,,,,,3.1,2.9,2.6,,2.9,2.7,2.4,,3,2.8,2.5,
626,,,,,,,,,,,3.5,,,3.3,3.1,,,3.5,3.3,
628,,,,,,,,,,,,,,,,,,4.7,4.5,
,,,,,,,,,,,,,,,,,,,,
631,,,,,,,,,1.8,1.7,1.5,,2,1.9,1.7,,2,1.9,1.7,
632,,,,,,,,,,2.1,1.9,,,2.2,2,,,2.3,2.1,
633,,,,,,,,,,2.4,2.1,,,2.3,2,,,2.3,2,
634,,,,,,,,,,3,2.7,,,2.8,2.5,,,2.9,2.6,
636,,,,,,,,,,,,,,,3.2,,,3.6,3.4,
638,,,,,,,,,,,,,,,,,,4.8,4.6,
,,,,,,,,,,,,,,,,,,,,
6122,,,,,,,,,,,,2.4,,,,2.5,,,,2.6
6124,,,,,,,,,,,,2.7,,,,2.8,,,,2.9
6142,,,,,,,,,,,,3.2,,,,3,,,,3.1
6144,,,,,,,,,,,,3.5,,,,3.3,,,,3.4
6162,,,,,,,,,,,,,,,,,,,3.9,
,,,,,,,,,,,,,,,,,,,,
6221,,,,,,,,,,,,1.6,,,,1.7,,,,1.8
6241,,,,,,,,,,2.8,2.5,,,2.6,2.3,,,2.7,2.4,
6243,,,,,,,,,,,,3.3,,,,3.1,,,,3.2
6245,,,,,,,,,,,,3.7,,,,3.5,,,,3.6
6247,,,,,,,,,,,,,,,,,,,,4
6261,,,,,,,,,,3.7,3.5,,,3.3,3.1,,,3.5,3.3,
6263,,,,,,,,,,,,,,,,,,4.2,4,
6265,,,,,,,,,,,,,,,,,,4.7,4.4,